id,publication_year,cited_by_count,author_ids
W2047940964,2004.0,7331,A5014647140|A5067142016|A5008033989
W3103362336,2018.0,6724,A5014647140|A5082953212|A5067142016
W2157082398,2008.0,2163,A5014647140|A5008033989|A5067142016
W2974087526,2019.0,1730,A5054642819|A5027320968|A5008132739|A5071024354
W3133423348,2021.0,1712,A5076143079|A5041680508|A5047301239|A5008291667|A5016371653
W2084938591,2013.0,1000,A5009970175|A5011228873|A5046546654|A5021346979
W2061099285,2010.0,950,A5069948947|A5078253058|A5014647140
W2595521492,2017.0,872,A5031461158|A5078699564|A5050099046|A5021346979|A5011228873
W2072606289,2012.0,617,A5009970175|A5011228873|A5046546654|A5021346979
W4312820073,2021.0,606,A5007374520|A5073180325|A5020318194|A5039841997|A5021346979|A5011228873
W2102017123,2015.0,595,A5014647140|A5027903946|A5027079032
W202178741,2021.0,582,A5073180325|A5007374520|A5054721267|A5039841997|A5011228873|A5021346979
W2538660910,2011.0,582,A5007374520|A5039841997|A5073180325|A5011228873|A5021346979
W2100974526,2011.0,530,A5073180325|A5007374520|A5054721267|A5039841997|A5046782003|A5011228873|A5021346979
W2171817276,2015.0,403,A5046684626|A5078699564|A5048471401|A5011228873
W2907352650,2019.0,403,A5054574752|A5031461158|A5050099046|A5078699564|A5011228873|A5021346979
W2296706733,2016.0,362,A5063327692|A5056583184|A5011228873|A5021346979
W2115682136,2007.0,334,A5014647140|A5000038347|A5032779977
W2104249099,2012.0,273,A5084821293|A5018108132|A5039131111
W2784117065,2018.0,270,A5063327692|A5077072350|A5016893860|A5054619352|A5011228873|A5021346979|A5056583184
W2074562205,2014.0,269,A5110544572|A5014647140
W2188672152,2014.0,253,A5051563238|A5079593682|A5066450158|A5076132658|A5020685414|A5004283810|A5011228873
W2041161771,2010.0,251,A5073180325|A5053938061|A5011228873|A5021346979|A5046546654
W4224979504,2022.0,248,A5013385420|A5037994930|A5070356107|A5054574752|A5011228873|A5021346979|A5031312546
W2165066692,2013.0,206,A5007374520|A5078699564|A5021346979|A5011228873
W4403839497,2024.0,202,A5057083249|A5064296964|A5079825006
W2165883727,2011.0,201,A5018108132|A5084821293|A5030685996|A5039131111
W2167366384,2015.0,200,A5101884415|A5028367820|A5011228873|A5021346979
W2167535087,2006.0,188,A5018108132|A5089574004
W2703096805,2017.0,179,A5100766387|A5028367820|A5070491230|A5011228873|A5021346979
W2765538454,2017.0,172,A5039995516|A5103264849|A5075497327|A5058635743
W3023751895,2020.0,167,A5064296964|A5071122166|A5101702632|A5057243118|A5087990460|A5007176508
W3021340442,2005.0,164,A5014647140|A5008033989
W2108349167,2014.0,162,A5039995516|A5027320968|A5027462458|A5016314032|A5088459011|A5046029043|A5071024354
W2787192533,2018.0,160,A5063175331|A5073734131|A5039995516|A5071024354
W3016912674,2020.0,151,A5103264849|A5039995516
W3189072387,2021.0,151,A5011168888|A5030987696|A5014647140|A5080732494|A5054707908|A5000679279
W2028993035,2013.0,148,A5007374520|A5050099046|A5078699564|A5081241112|A5021346979|A5011228873
W2166330262,2013.0,143,A5103810699|A5073180325|A5031799782|A5039841997|A5084282503|A5022272025|A5036258938|A5021346979|A5011228873
W3174228498,2021.0,143,A5047301239|A5076143079|A5032566311|A5013385420|A5005931766|A5064234628|A5050830060|A5008291667
W2155058903,2008.0,142,A5014647140|A5008033989|A5067142016
W2051839631,2000.0,141,A5057977875|A5069264300|A5011228873|A5076985100|A5103065585
W2130151814,2013.0,141,A5018108132|A5052438394|A5089574004|A5091322523
W2099358290,1996.0,138,A5018108132|A5084074695
W1979752213,2012.0,135,A5032482559|A5060765211|A5046438500|A5066646736|A5067320211
W2063626260,2013.0,135,A5101787543|A5101882945|A5108688680|A5011228873|A5021346979
W2610252483,2017.0,134,A5051495554|A5022023580|A5071275454|A5063354832|A5070801173|A5032482559
W2565597050,2017.0,130,A5048132210|A5054519023|A5014647140|A5027079032
W2605286186,2017.0,130,A5031461158|A5078699564|A5021346979|A5011228873
W2015087122,2009.0,124,A5030951161|A5011228873|A5021346979
W3044372531,2020.0,124,A5084131035|A5074873398|A5045602714|A5061189496|A5049836770|A5067493080
W2767889121,2017.0,117,A5022023580|A5051495554|A5071275454|A5070801173|A5063354832|A5032482559
W2943044629,2019.0,116,A5063175331|A5039995516|A5035352636
W2891704284,2019.0,115,A5058731900|A5082313934|A5067142016
W1506514132,2001.0,111,A5018108132|A5084074695
W2158962429,2014.0,104,A5015375969|A5018108132
W4283717058,2022.0,103,A5076143079|A5068906697|A5010966904|A5004517948|A5085261603|A5013164931|A5047301239|A5008291667
W2754406346,2017.0,102,A5022023580|A5051495554|A5071275454|A5063354832|A5070801173|A5032482559
W2584663722,2017.0,101,A5015249696|A5008132739|A5083830744
W2130179853,2013.0,100,A5039995516|A5088459011|A5027320968|A5074409311|A5071024354
W2062995016,2011.0,97,A5087209063|A5061900944|A5109976534|A5003544728|A5001383313
W2886256382,2018.0,91,A5101884415|A5002597222|A5011228873|A5021346979
W2584193358,2017.0,89,A5027320968|A5039995516|A5089509156|A5071024354
W3014818359,2020.0,87,A5028553503|A5071576677|A5018108132
W2096463447,2011.0,86,A5012185534|A5027647763|A5067493080|A5048615390
W2148351912,2014.0,85,A5018108132|A5102959740|A5102797825|A5061945368|A5074301708|A5030337104
W2127182614,2008.0,82,A5061287527|A5011228873
W3197182080,2021.0,81,A5064296964|A5027814433|A5071294124|A5000679279
W4312065168,2022.0,80,A5064296964|A5077079119|A5069454833|A5069999998|A5103706325|A5000679279
W2803567385,2018.0,79,A5054519023|A5054164320|A5048132210|A5014647140
W3158128220,2021.0,76,A5014611865|A5041661508|A5012269430|A5030229074|A5026986766|A5008132739|A5058962672|A5042944674|A5053906209
W2473006944,2021.0,69,A5078699564|A5031461158|A5021346979|A5011228873
W2474946764,2016.0,69,A5022023580|A5070801173|A5063354832|A5032482559|A5059301263
W4292475382,2022.0,67,A5101803962|A5055446394|A5101965096|A5036936081|A5014647140
W3125182256,2021.0,66,A5101884415|A5011228873|A5021346979
W3036950804,2020.0,65,A5076143079|A5056754015|A5047301239|A5008291667|A5066142255
W3088692023,2020.0,64,A5083494527|A5053294269|A5046449396
W3179511331,2021.0,63,A5041723151|A5070815266|A5018823116|A5088351658|A5061900944
W2334678405,2014.0,57,A5049203811|A5086453253|A5077184948|A5061900944
W2605178693,2017.0,57,A5082983516|A5018108132|A5102959740|A5061945368|A5070711999
W4309697951,2022.0,56,A5064296964|A5077079119|A5069454833|A5069999998|A5076633756|A5000679279
W3111149875,2021.0,46,A5025683130|A5090038371|A5026380797|A5011228873|A5021346979|A5048471401|A5011148802|A5053938061
W3036331537,2020.0,41,A5073658092|A5017554649|A5061900944|A5075523994|A5079136793|A5005439744|A5019479048
W3044245071,2020.0,40,A5015934450|A5063175331|A5035352636|A5039995516
W4289257136,2015.0,39,A5045620226|A5048132210|A5072263832|A5014647140
W3189688798,2021.0,35,A5039995516|A5063175331|A5035352636
W3014116174,2020.0,33,A5032482559|A5063354832|A5059265179|A5020554490|A5025107297|A5039977048|A5071112597|A5000619566|A5104359013
W2025416535,2011.0,32,A5061945368|A5018108132|A5102959740
W2963244303,2017.0,31,A5040544895|A5082445846|A5069378687|A5032482559
W3185619406,2023.0,31,A5002732360|A5024799204|A5039995516
W2972340585,2019.0,27,A5073547083|A5039995516|A5034268751|A5024635294
W3135686887,2021.0,27,A5022500379|A5061945368|A5018108132
W4254836560,1996.0,27,A5018108132|A5084074695
W1844628735,2014.0,25,A5013559230|A5064296964|A5102756489|A5011229206|A5075956753|A5115598991|A5109833231|A5073189960|A5007176508
W4388286213,2023.0,24,A5090775158|A5074354806|A5010238198|A5108961510|A5043151044|A5067858887|A5034150082
W4384470972,2023.0,21,A5041661508|A5012269430|A5042944674|A5008132739|A5058962672|A5053906209|A5026986766|A5030229074
W4295014675,2022.0,20,A5091875646|A5029380104|A5058731900|A5068497573|A5081476701|A5027588100|A5084972098|A5052965447
W4391486428,2024.0,20,A5029789437|A5047301239|A5032437519|A5010966904|A5020925570|A5076143079|A5008291667
W4312108553,2022.0,19,A5100420857|A5011112366|A5029566538|A5020580331|A5040759182|A5041032299|A5020196988|A5059213806
W4396833496,2024.0,18,A5019872513|A5064296964|A5047234002|A5035743198
W4376640371,2023.0,16,A5006716626|A5028553503|A5074301708|A5112135278|A5018108132
W4400110203,2024.0,12,A5090414289|A5087299552|A5011228873|A5021346979
W4394769821,2024.0,11,A5010544062|A5011228873|A5059236838
W2079844646,2006.0,156,A5089831647|A5063648924|A5014647140|A5008033989
W2165925342,2006.0,136,A5053938061|A5011228873|A5021346979|A5046546654
W2085547213,2012.0,91,A5014647140|A5032779977
W2507589243,2016.0,87,A5046105839|A5026740608|A5108737070|A5071024354|A5039995516|A5113037514|A5111951947|A5077149161
W2060671108,2002.0,85,A5110249371|A5029222455|A5061900944|A5109976534
W2036410617,2011.0,84,A5018108132|A5061945368
W2119195791,2006.0,82,A5032482559|A5027706684|A5059301263
W2122955344,2005.0,80,A5050455964|A5011228873|A5051471901|A5076985100
W2131044832,2009.0,80,A5032482559|A5059301263|A5038201807
W1967242084,2014.0,79,A5039995516|A5088459011|A5027320968|A5071024354|A5073030515|A5022230602
W1986467742,2013.0,73,A5089425147|A5032482559|A5059301263|A5061160911
W1995368504,2015.0,71,A5039072983|A5110662445|A5070920982|A5046348432
W2584221059,2017.0,69,A5015249696|A5008132739|A5083830744
W2138473791,2002.0,66,A5084074695|A5018108132
W2305957822,2016.0,66,A5064296964|A5043639182|A5111367077|A5075956753
W2113576847,1997.0,62,A5018108132|A5084074695|A5055540413
W2130167023,2014.0,62,A5037488679|A5014647140
W2154943292,2015.0,57,A5071576677|A5018108132
W2202182017,2015.0,57,A5018108132|A5091322523|A5080304748
W2118846710,2005.0,55,A5018108132|A5084074695|A5000415140
W2070209387,2012.0,54,A5074301708|A5018108132|A5006716626
W3164832180,2015.0,53,A5056583184|A5004318489|A5065682719|A5082461253|A5021346979|A5011228873
W3022724151,2020.0,51,A5021896082|A5058731900
W2802089178,2018.0,50,A5039995516|A5059294229
W2979618875,2019.0,50,A5016767305|A5056583184|A5059236838|A5011228873
W2043976581,2012.0,49,A5052438394|A5091322523|A5089574004|A5018108132
W2146678433,2014.0,48,A5071024354|A5039995516|A5085572513|A5027320968
W2155287271,2014.0,46,A5046449396|A5011822190
W2401120989,2016.0,46,A5089509156|A5039995516|A5063175331|A5027320968|A5034329650|A5071024354
W3085709892,2020.0,46,A5039995516|A5063175331
W1983932939,2011.0,45,A5061945368|A5018108132
W2043060383,2009.0,45,A5018108132|A5084074695|A5080093407
W2274574890,2015.0,44,A5096105687|A5096090974|A5045605391|A5077832807|A5011228873|A5113707661|A5110312338
W2940762905,2019.0,44,A5084821293|A5018108132
W2160075231,2009.0,43,A5014647140|A5110118358
W2937965378,2019.0,43,A5018478540|A5091783761|A5078699564
W3154059819,2021.0,43,A5059294229|A5039995516
W4300391517,2013.0,43,A5078699564|A5031461158|A5021346979|A5011228873
W2043443922,2004.0,42,A5032482559|A5027706684|A5059301263
W2081085399,2013.0,42,A5074301708|A5018108132
W1968074635,2014.0,41,A5072749955|A5079919747|A5061900944|A5090606361
W2123504518,2014.0,41,A5015249696|A5008132739|A5069284430|A5111431751
W2534198569,2016.0,41,A5012185534|A5086944871|A5067493080
W2550515775,2016.0,41,A5086011172|A5071042104|A5060753814
W3121409403,2021.0,41,A5063354832|A5071112597|A5070801173|A5022023580|A5032482559|A5059301263|A5009711545
W2025486136,2014.0,40,A5036542864|A5008132739|A5002025732|A5003911982
W2997984992,2019.0,39,A5066276682|A5039995516|A5082650287
W3042669477,2022.0,39,A5089504371|A5077658835|A5011228873|A5021346979|A5056583184|A5010924288
W3097684950,2020.0,39,A5014611865|A5084703180|A5083726776|A5063138130|A5083670870|A5008132739|A5031070911
W927963879,2015.0,39,A5089425147|A5032482559|A5059301263
W2026779678,2015.0,38,A5049388099|A5067493080
W3012111042,2020.0,38,A5037234930|A5063354832|A5022023580|A5032482559|A5070801173
W3133462909,2021.0,38,A5039995516|A5063175331|A5035352636
W2005080086,2014.0,37,A5067493080|A5049388099|A5012185534|A5012927472
